movie_name,movie_url
2017战争大片《敦刻尔克》720p.BD国语配音完美中字,http://www.hao6v.com/gydy/2017-12-11/DunKeErKe.html
2017高分动作科幻《猩球崛起3》720p.BD国语配音完美中字,http://www.hao6v.com/gydy/2017-10-17/30008.html
2017动作奇幻《加勒比海盗5》720p.BD国语配音完美中字,http://www.hao6v.com/gydy/2017-09-25/JLBHD5.html
2017动作科幻《神奇女侠》720p.BD国语配音完美中字,http://www.hao6v.com/gydy/2017-09-03/ShenQiNvXia.html
2017动作科幻《守护者：世纪战元》720p.HD国语配音中字,http://www.hao6v.com/gydy/2017-09-07/29780.html
经典动作剧情《怒火保镖》720p.HD国语配音中字,http://www.hao6v.com/gydy/2017-08-31/NuHuoBaoBiao.html
2017动作科幻《银河护卫队2》720p.HD国语配音中字,http://www.hao6v.com/gydy/2017-08-18/YHHWD2.html
经典动作剧情《暗杀》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-03-16/AnSha.html
印度高分剧情《摔跤吧!爸爸》1080p.HD国语配音中字,http://www.hao6v.com/gydy/2017-07-06/SJBBB.html
印度2016剧情《疯狂粉丝》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-05-11/FengKuangFenSi.html
2016动作剧情《泰山归来：险战丛林》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-05-11/TSGLXZCL.html
2016动作剧情《机械师2：复活》720p.BD国语配音中英双字,http://www.hao6v.com/gydy/2017-03-14/JXS2FH.html
2016奇幻剧情《神奇动物在哪里》720p.BD国语配音中英双字,http://www.hao6v.com/gydy/2017-03-14/SQDWZNL.html
2016动作奇幻《佩小姐的奇幻城堡》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-03-18/PXJDQHCB.html
2016高分动画《西葫芦的生活》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-04-25/XHLDSH.html
2016动画《爱宠大机密》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-04-25/ACDJM.html
2017动画《冲浪企鹅2》720p.HD国语配音中字,http://www.hao6v.com/gydy/2017-04-06/28895.html
俄罗斯2015奇幻剧情《他是龙》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-03-14/TaShiLong.html
经典高分爱情《时空恋旅人》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-03-18/SKLLR.html
经典高分传记剧情《模仿游戏》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-03-18/MoFangYouXi.html
经典高分动作《魔兽》720p.BD国语配音中字,http://www.hao6v.com/gydy/2017-03-30/MoShou.html
